ADM0_NAME,ADM1_NAME,ADM2_NAME,ADM0_CODE,ADM1_CODE,ADM2_CODE,rh50_x10_mean,rh50_x10_median,rh50_x10_stdDev,rh50_x10_min,rh50_x10_max,rh50_x10_count,rh50_x10_p10,rh50_x10_p25,rh50_x10_p75,rh50_x10_p90,rh_non_ground50_x10_mean,rh_non_ground50_x10_median,rh_non_ground50_x10_stdDev,rh_non_ground50_x10_min,rh_non_ground50_x10_max,rh_non_ground50_x10_count,rh_non_ground50_x10_p10,rh_non_ground50_x10_p25,rh_non_ground50_x10_p75,rh_non_ground50_x10_p90
Italy,Lazio,Rieti,122,1622,18349,46.98086306838432,21.474908277030153,53.306208321910006,-29,705,141059,1.4557986135705139,5.36816365926038,81.50141258843979,125.35548935472411,84.30137820759414,73.51930912161588,43.67986368181827,0,833,141059,41.554411364551,53.508704591391414,105.45889918571007,141.4586053206399
Italy,Lazio,Roma,122,1622,18350,36.89223899358243,13.36265597440011,49.7617340736383,-63,813,391941,1.4868578298699884,1.4868578298699884,57.59951563344116,109.51926021867692,78.3654071017511,65.47434104471279,44.054271179155535,0,824,391941,37.64450818734684,45.457915844402,97.46673007400048,137.4889039622964
Italy,Lazio,Viterbo,122,1622,18351,36.27222688049026,13.353879886107134,50.68294197576454,-30,835,230776,1.4753887125862306,1.4753887125862306,57.60276132070108,105.44641781660545,76.90019776276094,65.47047018087294,45.29563856099684,0,876,230776,37.63307381859678,45.440244040937344,93.47881170845562,129.4784184508736
Italy,Liguria,Genova,122,1623,18352,62.85956229401077,53.43127559945946,56.099363720705334,-28,836,99667,1.5432749278808784,13.391104498678391,101.49060898182391,137.49659764107886,96.64358518915589,89.51194665314716,45.188379609896685,0,836,99667,49.46394179887593,65.53804082507452,121.49844248846212,153.45200090484303
Italy,Liguria,Imperia,122,1623,18353,56.576150913961584,41.56904250761787,55.005151705023536,-28,859,78448,1.5079735827765106,9.468551299852223,89.49330879972578,129.434251764526,90.21628529972432,81.50559019565686,46.016714081385494,0,857,78448,45.52667616697368,57.511049101967075,113.48286747253842,145.3941427023833
Italy,Liguria,La Spezia,122,1623,18354,59.47502139728285,48.45273575247412,53.33971086768948,-29,377,48049,2.59807115486732,10.414828720377074,98.5854207535815,134.40200760717246,93.71392387025496,86.47550040372276,41.59311937003428,0,384,48049,46.49538121648677,62.516892571369986,118.49368221653243,150.46860228700191
Italy,Liguria,Savona,122,1623,18355,56.86081826404681,45.466503706517585,53.93692810045323,-37,807,154906,1.5198855330479273,9.465175888474237,93.52894054318568,129.36693759775397,91.7608429045043,85.49758795966216,43.86833270756001,0,862,154906,45.51098599515584,61.54389635594552,113.47852832366785,145.47789149071104
Italy,Marche,Ancona,122,1625,18367,22.765712740827002,5.316698258811308,37.82899682298255,-35,750,69814,-1.7876469949377622,1.252356264037318,29.450000171779394,81.55761634896102,71.6505976477291,65.45478849084944,35.59697205270958,0,833,69814,41.48291307695741,49.45859456459587,89.42122300538203,113.54461658332892
Italy,Marche,Ascoli Piceno,122,1625,18368,35.40938318994667,9.459512834320925,48.11163609371532,-35,504,65921,-1.9387971282468848,1.2983060496060783,61.54846855729075,109.53259246461229,78.59758952982304,67.52090016223059,40.60974499469227,0,1098,65921,43.31454441868548,51.42452171710381,99.40121311936372,131.31371277201492
Italy,Marche,Macerata,122,1625,18369,30.11474619231231,9.434926241548212,44.73327879376974,-32,837,82330,-1.881248503356096,1.2763164124111603,49.50503261993322,97.45996442507894,75.1961404651837,69.521912377616,37.48386509267082,0,1008,82330,41.46174269098445,49.45342080599812,93.49316407600901,121.3876149109377
Italy,Marche,Pesaro,122,1625,18370,34.9510487011031,11.061723627457978,48.06223056768482,-44,987,186936,-2.693627282923572,2.828464493636994,59.51838585169312,107.4344929307828,77.44197805837352,69.51532185442531,40.33043417203191,0,986,186936,41.50961172875824,49.473990294419,93.4516895636019,125.4522803219893
Italy,Molise,Campobasso,122,1626,18371,28.87250329051589,5.334543793855082,44.96791535249315,-36,734,160612,-1.884832859425735,1.367472952937399,41.55054778075681,97.46496255057468,71.78098482744595,61.46322659529087,38.38349476754125,0,808,160612,37.715956933581076,45.45522841367874,89.46113713442539,117.51191406286075
Italy,Molise,Isernia,122,1626,18372,46.30029075871326,21.491374343787854,54.29058172206078,-26,770,145266,1.4818706444730594,5.385323111195126,81.59405838582421,125.44947500240825,83.57376454587894,73.47937542467135,45.00929681220658,0,849,145266,41.53399351944516,49.4903031570655,105.47112500859214,141.46644541866408
Italy,Piemonte,Alessandria,122,1627,18373,41.772000965986734,17.440867739323,50.480711844925764,-35,731,213489,1.3344045995697449,1.3344045995697449,73.3707972633265,113.49715932805117,83.65729565450239,73.4933372209489,42.194285988028454,0,763,213489,41.566387293586885,53.51426477555635,101.4846444707721,133.46413170775648
Italy,Piemonte,Asti,122,1627,18374,46.427821377131096,21.438286426884055,56.217640470499,-30,769,105843,1.3499289364463865,1.3499289364463865,81.53216898596406,121.46000238896579,88.44417317946996,77.46901403860032,49.23021371009991,0,796,105843,41.479385303001855,53.455953084301754,109.48830772061625,145.4726732694124
Italy,Piemonte,Cuneo,122,1627,18376,46.28892593310478,21.483630362677985,54.08744888164886,-39,806,382138,1.3858608671321422,5.398352969457915,81.52555344816429,125.36616148491026,88.71465760902926,81.47250709622102,44.97753189882501,0,820,382138,41.51751575219479,53.501816743270844,113.47494893098481,149.44673862529189
Italy,Piemonte,Torino,122,1627,18378,45.84397301257777,21.497832546434275,54.65340452308117,-49,853,222527,1.3638202974911406,5.372348165075047,77.55191097828595,129.4800766510222,91.49698853374608,81.480412919719,45.7509931049778,0,845,222527,45.527913770720396,57.48495559586488,117.48005051812957,153.4633638634471
Italy,Puglia,Bari,122,1628,18381,11.563223870581988,5.14446814087115,26.37506946622771,-26,638,97826,1.642927507181705,1.642927507181705,9.28080378498627,29.465591760851684,52.89845476668029,41.31168221967163,29.08090204673024,0,777,97826,37.72409592015131,37.72409592015131,53.39008325247182,81.43499679442301
Italy,Puglia,Brindisi,122,1628,18382,7.747910867132943,5.277654489519639,15.415507315580033,-19,853,89038,1.532653024090517,1.532653024090517,9.308566661264864,13.256802162544528,53.13448374918015,49.48808614070014,17.017106068086406,0,874,89038,37.76148108693405,45.55418762374886,57.39947320368044,65.37982811727278
Italy,Puglia,Foggia,122,1628,18383,38.1048021425115,10.950108727727457,57.10359701195303,-35,997,127650,2.9527867278465827,2.9527867278465827,59.423359854009554,123.42921098752365,75.61196485819276,61.43781049827329,48.2122825067549,0,915,127650,37.6590090026936,45.433246241090394,93.47576033369008,137.46178686759956
Italy,Puglia,Lecce,122,1628,18384,9.942323498566095,2.531577924106379,21.74352907758207,-25,446,84836,0.5263764342031506,0.5263764342031506,8.562697722847961,26.590531084141848,55.97351434317704,49.39426930665934,26.374637015573633,0,799,84836,37.77625750844931,41.66696823739203,57.35552147686565,81.44309222058943
Italy,Puglia,Taranto,122,1628,18385,13.37537502936808,5.241003043144284,26.089652557425655,-24,567,52337,1.5280000190795398,1.5280000190795398,9.346418028845038,37.47419839904916,56.18477806743436,49.45313823452854,28.061084844596202,0,801,52337,37.66044190267862,41.52182310369239,61.44377963348809,85.4085442617558
Italy,Sardegna,Cagliari,122,1629,18386,21.983327741686367,5.329983733775922,34.72183543663655,-31,899,200546,-2.0434270124256932,1.4374455370893227,29.47422562174283,73.41019607843137,59.58460740347884,53.46009260891645,30.114711533688627,0,915,200546,37.64297832241632,41.48073034208562,69.45954759804962,89.45420721546284
Italy,Sardegna,Nuoro,122,1629,18387,27.50267539378042,9.43412929063177,37.4243599245987,-27,878,450563,1.4783158980735605,1.4783158980735605,41.52928795865025,81.46998168416475,63.569115928300796,57.4615741911386,31.389354908097307,0,883,450563,37.65130127715544,45.47940668946524,73.46893111753863,97.48986238613239
Italy,Sardegna,Oristano,122,1629,18388,19.7288531548184,5.343597835400314,30.827459427417125,-30,668,111490,1.4768655160200859,1.4768655160200859,21.436535055651273,65.50031749660279,58.96220408214437,53.44722679518021,29.15853540094387,0,972,111490,37.63246349483771,41.51128880105881,69.43946281008479,89.4364475473029
Italy,Sardegna,Sassari,122,1629,18389,20.61901961205744,5.366344459334033,33.01718445086539,-28,763,354005,1.4775702657043333,1.4775702657043333,25.49606544564916,65.53490821918938,58.11387656984673,53.456122585168345,30.506235640660996,0,873,354005,37.644896256082376,41.52181403226299,65.44634319855024,85.44181344834283
Italy,Sicilia,Agrigento,122,1630,18390,11.008706111810357,1.3031649065751003,28.020845653784445,-37,732,86998,-2.0020719372286284,1.3031649065751003,9.357088901955983,33.55634443072233,59.17763619532803,49.40563355146748,35.43883317016778,0,780,86998,37.737736964453525,41.417685542494105,69.4646417010827,97.55835177956693
Italy,Sicilia,Caltanissetta,122,1630,18391,9.098815391713584,1.2746265596898791,22.24885516472444,-28,519,64773,-1.9274032210352425,1.2746265596898791,9.336358240122918,25.391716789826432,60.58279354204677,49.417303475313965,33.793305270313155,0,719,64773,37.75298572972742,41.425724836824415,73.47155494255223,101.40817414267198
Italy,Sicilia,Catania,122,1630,18392,23.17024019916126,5.327465070926723,37.24591876139631,-30,687,103031,-1.9859727605624657,1.4599667096647042,29.48658024788202,77.47158482188323,63.22213743900628,53.46190744504428,34.39814758614629,0,711,103031,37.610902077134256,41.452909139510204,77.45697598467055,105.42744355794879
Italy,Sicilia,Enna,122,1630,18393,10.138761438150285,1.3054094018945324,24.663197475662052,-35,742,74225,-1.9918643233713187,1.3054094018945324,9.36192842753731,29.44123366716308,60.865751106569505,49.41738374176422,33.062989425426025,0,841,74225,37.74062644198988,41.441556603988865,73.48086125248011,101.57115503196701
Italy,Sicilia,Messina,122,1630,18394,44.02171777050978,21.508448750071413,49.436911664489905,-37,728,159112,1.4697740758895075,5.381045147645761,77.50506269906073,117.45497994069423,79.1698122585387,69.48139990196243,40.632086666600955,0,749,159112,41.518220072744185,49.47423335928126,101.48229171909524,133.47965569056092
Italy,Sicilia,Palermo,122,1630,18395,15.143723094164647,1.3072674792067778,33.38599071429528,-40,823,166875,-2.004029018412994,1.3072674792067778,13.363755708937559,53.380393126898745,60.841560710281335,49.443327910262695,36.07531245829443,0,906,166875,37.74629259578816,41.4468616523165,73.46330380625,101.4456114963813
Italy,Sicilia,Ragusa,122,1630,18396,13.037960292255926,1.3541496474155792,30.19371848183822,-30,654,39920,-1.8512704753255942,1.3541496474155792,9.324255288437993,37.54069741146674,59.32594844372343,49.39779459570997,44.2108701902271,0,839,39920,37.723990037326004,41.553446632490456,61.39420996962534,89.5219123505976
Italy,Sicilia,Siracusa,122,1630,18397,14.011355226676894,1.3995352119274078,29.91946475384421,-30,525,49454,-1.8351618907227056,1.3995352119274078,9.354065416815429,45.41566265060241,57.37428761317087,49.41171795801936,30.580157212661923,0,721,49454,37.678742324808525,41.5003780852405,65.43675709189505,89.52100671813898
Italy,Sicilia,Trapani,122,1630,18398,13.414162141183215,1.3511034458518996,28.878941396956765,-117,598,45001,-1.90454240053926,1.3511034458518996,9.390001976168106,41.42516135309571,59.052744459434855,49.4321812699942,34.30272500534515,0,924,45001,37.638853128719546,41.429700924259826,69.53380580949985,97.4724247755201
Italy,Toscana,Arezzo,122,1631,18399,48.83095305517181,29.465168815765807,53.28497821760467,-33,813,257882,1.4575191030109123,5.425271650167236,81.49988301711481,121.49030977248903,85.35802014915764,77.48565849128948,43.93146949343405,0,831,257882,41.55370273941278,53.5007640911083,105.4854082811325,137.4801708350757
Italy,Toscana,Grosseto,122,1631,18401,39.73954194320118,17.465756850355433,47.66672548724749,-34,799,455252,1.4156723255996004,1.4156723255996004,69.42917665064864,109.52116952887768,76.53646950875346,69.49182771206716,39.23111567263029,0,937,455252,41.52820482559209,49.49784173029008,93.475709281539,125.43437544271944
Italy,Toscana,Livorno,122,1631,18402,41.680027234362775,22.511213200025583,45.06113780985827,-34,403,101995,0.539727931312577,4.366376182168502,72.49853578233169,106.4872768403437,74.66030155965304,69.53937587553729,35.24590401082025,0,577,101995,37.651218633879566,49.48215835833832,93.47767015460029,121.49562999453246
Italy,Toscana,Lucca,122,1631,18403,60.168742777187745,41.52742934810113,59.086229750803845,-23,503,70494,1.4917026401678017,9.464790488378078,101.45591001029062,145.46761425469973,97.79700761088867,89.47796328780856,48.26937160097476,0,543,70494,45.52375371781022,57.531426288042645,125.48901524072267,165.47082850607492
Italy,Toscana,Massa-carrara,122,1631,18404,67.17808046977672,57.51065958750255,58.55560672706319,-30,547,47433,1.478698327330501,13.402294187729542,109.55341966815055,149.47519989598908,100.64936507953612,93.45294594469405,46.66844211508797,0,641,47433,49.56803697255413,65.47955225836117,129.5287631707757,161.40579000939556
Italy,Toscana,Pisa,122,1631,18405,44.67910566601755,21.503738436611744,50.4396305030926,-35,865,165199,1.4408811737254164,5.41502107181153,77.52406790911925,117.51439956759964,81.32950352750404,73.50789782502194,41.25310937770619,0,960,165199,41.51832288324913,49.49491252254185,101.45876395585307,137.50112004875905
Italy,Toscana,Pistoia,122,1631,18406,61.661988882218694,41.55075470906071,62.33580029176723,-25,768,39320,1.5298302662886534,9.457953018266927,101.52382816693293,149.54979030826217,99.33188291542804,89.51550358913639,52.549403263835444,0,775,39320,41.59299171889099,57.463994142412595,129.52308599370383,169.56144
Italy,Toscana,Siena,122,1631,18408,43.73825833843747,21.469039890336337,50.36899555679154,-37,958,305246,1.4373469974270578,5.387483289316101,77.51766700199455,113.4491469084428,81.34948227412666,73.47056653539777,41.762343218653726,0,962,305246,41.51423817924429,53.53543296033061,101.44900146756619,133.46858432760908
Italy,Umbria,Perugia,122,1633,18411,41.24601901129857,17.453708572521705,48.60486381947749,-31,787,326287,1.4279159656414981,5.3942380715853,73.41808319758654,109.51656191988546,79.82791527264861,73.48599217828465,40.835285339457705,0,803,326287,41.543374445436626,53.50230510206664,97.4562011442647,129.48366583788598
Italy,Umbria,Terni,122,1633,18412,43.39940308169228,21.50314577733592,48.793810261170115,-32,816,137067,1.4621355861768712,5.417991896286884,77.50154216227384,113.4346681758196,79.95904266892357,73.46764239448194,39.91915285298478,0,850,137067,41.53021438810041,53.52234137388416,101.45052038502328,129.5452131853146
Italy,Emilia-romagna,Ferrara,122,1620,18335,18.22633968606994,4.380316521734298,32.733349114097734,-83,305,30700,0.47479950814118443,0.47479950814118443,16.340177483904647,60.627521986549404,73.74391433798473,64.4793004858168,34.473282975934815,0,437,30700,42.49516007823503,50.511087068338625,86.50879817943985,118.49056603773585
Italy,Friuli-venezia Giulia,Gorizia,122,1621,18343,37.84120323938083,16.353982300884955,45.554573846261036,-22,267,16556,0.5296016375373956,4.384541498344228,62.53427831538775,108.55263157894737,76.3661471141457,66.52942331288344,36.42566187296732,0,395,16556,40.65784003894328,50.472986740635534,94.48148342059336,128.47826086956522
Italy,Friuli-venezia Giulia,Pordenone,122,1621,18344,48.89240543182028,17.46423200310728,61.13217952600822,-33,778,80940,1.298304489463504,5.403090816387875,81.53784773910988,137.47646234494215,94.7014696453192,81.49203076327726,52.588388225896864,0,789,80940,45.553559242514716,57.50316745794831,121.52499943294798,165.44143701602263
Italy,Friuli-venezia Giulia,Trieste,122,1621,18345,32.41788366604353,17.448196945102474,38.39858902444839,-19,531,13012,1.4447549486239044,5.418249332766022,49.6288974606236,89.36619550307151,67.92625726516181,61.55709611944725,29.79771426036036,0,533,13012,41.65177270138084,49.458143781777764,81.52974174334356,105.41050365906155
Italy,Friuli-venezia Giulia,Udine,122,1621,18346,59.360115192481274,33.6055335388986,64.46521135668038,-47,819,216553,1.366978868448996,5.380677586069529,101.5121703014968,153.51611577161157,104.5295110401103,93.4875209402743,55.34831523188018,0,861,216553,45.54511833384651,61.47623445198485,133.48189382690217,181.50717247511633
Italy,Lombardia,Bergamo,122,1624,18356,47.06458298291904,21.489138093665748,57.70912951931806,-34,825,131360,1.3892228185258726,5.382010969989944,77.46958033081417,129.4564935953436,88.76987103369747,77.4728100610007,49.0250205809456,0,831,131360,41.50464831255792,53.52979792046969,109.46321853495749,149.43487695448601
Italy,Lombardia,Brescia,122,1624,18357,40.932888825196954,17.46790966232394,52.474233105672376,-40,824,198012,1.3311835442266513,1.3311835442266513,69.44276254869125,117.54233274126702,83.50026575478786,73.49205553143274,44.197817233264175,0,824,198012,41.558078904793156,53.50428985232633,101.43237521904749,141.44285840232752
Italy,Lombardia,Como,122,1624,18358,56.78791920842624,29.517751585354194,60.85862645399155,-29,643,89761,1.473083668619857,5.431538272780953,97.51984313775381,149.42068155111633,100.08964156895887,89.48902408980084,49.74565552291561,0,645,89761,45.48062894429817,61.51178892339294,129.42445682149025,169.55173009543682
Italy,Lombardia,Cremona,122,1624,18359,16.363552009941568,5.330786924006066,35.79568472971508,-18,621,31463,-1.3611770108289896,1.1686860528658283,13.343761097571887,53.37806673209028,83.71284819994476,69.48312053641799,50.80991269927088,0,835,31463,45.601373520638894,53.50795995345434,97.4792103767812,141.49321446732773
Italy,Lombardia,Lecco,122,1624,18360,47.648603448551015,21.49880113410963,54.64066863381579,-32,674,41615,1.485643592094888,5.425168071940832,77.52085073966678,129.50747846258898,89.58838501998527,81.52072437616998,45.14241819583524,0,696,41615,45.47755784652695,57.52405930970388,113.4978292642849,149.47111455356426
Italy,Lombardia,Lodi,122,1624,18361,23.850808878692686,6.458546574647038,39.9708745223537,-18,309,17202,-1.1597805497928064,0.4655196519575061,24.503225806451614,84.54054054054055,85.9552327995126,74.50308914386585,42.5774411743825,0,312,17202,44.517412935323385,54.493928082415074,108.54999681074992,144.4245283018868
Italy,Lombardia,Mantova,122,1624,18362,17.84212603113876,5.317086031336496,35.85327826329506,-30,734,57704,-1.307839703568347,1.2103437258188834,13.355361795978569,61.684350132625994,78.06284343346066,65.47043682042668,44.853796258219674,0,744,57704,41.604356755983055,53.493050155695144,89.49169478535771,133.50142014419927
Italy,Lombardia,Milano,122,1624,18363,36.11354376193354,9.428594905177988,58.00802047627382,-69,879,91142,1.357421467359519,1.357421467359519,49.473414440065156,105.55951220902072,89.79963092262105,73.48765507954977,55.61131899540647,0,883,91142,45.521548466089044,57.48052992280759,105.47303569904764,149.39918714921617
